Name,Description,X,Avatar,Topics,Works at,Role,Papers
Emmanuel Candès,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f8/Emmanuel_Cand%C3%A8s.jpg/330px-Emmanuel_Cand%C3%A8s.jpg,Artificial Intelligence; Computer Science,California Institute of Technology,Professor,Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information; An Introduction To Compressive Sampling; Decoding by Linear Programming; Stable signal recovery from incomplete and inaccurate measurements; Near-Optimal Signal Recovery From Random Projections: Universal Encoding Strategies?
Oriol Vinyals,Computer Scientist,https://x.com/oriolvinyalsml,https://api.dicebear.com/9.x/initials/svg?seed=Oriol%20Vinyals&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,Google,Computer Scientist,Highly accurate protein structure prediction with AlphaFold; Distilling the Knowledge in a Neural Network; Sequence to Sequence Learning with Neural Networks; TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems; Show and tell: A neural image caption generator
Bernhard Schölkopf,Computer Scientist,https://x.com/bschoelkopf,https://api.dicebear.com/9.x/initials/svg?seed=Bernhard%20Sch%C3%B6lkopf&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Max Planck Institute for Intelligent Systems,Computer Scientist,A tutorial on support vector regression; Learning with Kernels; Nonlinear Component Analysis as a Kernel Eigenvalue Problem; Support vector machines; Advances in kernel methods: support vector learning
Tomaso Poggio,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8e/Tomaso_poggio_2015.png/330px-Tomaso_poggio_2015.png,Computer Vision; Computer Science; Artificial Intelligence,Moscow Institute of Thermal Technology,Professor,HMDB: A large video database for human motion recognition; Hierarchical models of object recognition in cortex; Networks for approximation and learning; Face recognition: features versus templates; Prediction of central nervous system embryonal tumour outcome based on gene expression
Pieter Abbeel,Professor,https://x.com/pabbeel,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6d/Pieter_Abbeel_pictured_at_CovariantHQ_in_November_2017.jpg/330px-Pieter_Abbeel_pictured_at_CovariantHQ_in_November_2017.jpg,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,"University of California, Berkeley",Professor,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks; Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor; Trust Region Policy Optimization; Apprenticeship learning via inverse reinforcement learning; Domain randomization for transferring deep neural networks from simulation to the real world
Alexei Efros,Professor,https://x.com/search,https://api.dicebear.com/9.x/initials/svg?seed=Alexei%20Efros&fontWeight=700&radius=16,Computer Vision; Artificial Intelligence; Computer Science,Berkeley College,Professor,Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks; The Unreasonable Effectiveness of Deep Features as a Perceptual Metric; Colorful Image Colorization; Texture synthesis by non-parametric sampling; Unsupervised Visual Representation Learning by Context Prediction
Koray Kavukcuoglu,AI Researcher,https://x.com/koraykv,https://api.dicebear.com/9.x/initials/svg?seed=Koray%20Kavukcuoglu&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,Google DeepMind,Researcher,Highly accurate protein structure prediction with AlphaFold; Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search; Natural Language Processing (almost) from Scratch; Playing Atari with Deep Reinforcement Learning
Andrew Ng,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/20/Andrew_Ng_at_TechCrunch_Disrupt_SF_2017.jpg/330px-Andrew_Ng_at_TechCrunch_Disrupt_SF_2017.jpg,Artificial Intelligence; Computer Science; Machine Learning,University of Bonn,Computer Scientist,Latent dirichlet allocation; On Spectral Clustering: Analysis and an algorithm; Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank; Learning Word Vectors for Sentiment Analysis; Large Scale Distributed Deep Networks
Jure Leskovec,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/Jure_Leskovec.jpg/330px-Jure_Leskovec.jpg,Theoretical Computer Science; Artificial Intelligence; Computer Science,Chan Zuckerberg Initiative (United States),Computer Scientist,node2vec; Targeted Branching for the Maximum Independent Set Problem Using Graph Neural Networks; Inductive Representation Learning on Large Graphs; Friendship and mobility; {SNAP Datasets}: {Stanford} Large Network Dataset Collection
Dawn Song,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Dawn%20Song&fontWeight=700&radius=16,Artificial Intelligence; Computer Science,Berkeley College,Professor,"Advances and Open Problems in Federated Learning; Provable data possession at untrusted stores; Robust Physical-World Attacks on Deep Learning Visual Classification; The sybil attack in sensor networks; Dynamic Taint Analysis for Automatic Detection, Analysis, and Signature Generation of Exploits on Commodity Software"
David Silver,AI Researcher,,https://api.dicebear.com/9.x/initials/svg?seed=David%20Silver&fontWeight=700&radius=16,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,Google DeepMind,Researcher,Highly accurate protein structure prediction with AlphaFold; Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search; Mastering the game of Go without human knowledge; Continuous control with deep reinforcement learning
Zhi-Hua Zhou,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Zhi-Hua%20Zhou&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Ministry of Public Security of the People's Republic of China,Professor,Top 10 algorithms in data mining; Isolation Forest; ML-KNN: A lazy learning approach to multi-label learning; A Review on Multi-Label Learning Algorithms; Ensemble Methods: Foundations and Algorithms
Sebastian Thrun,Computer Scientist,https://x.com/SebastianThrun,https://upload.wikimedia.org/wikipedia/commons/thumb/7/71/Sebastian_Thrun_by_Christopher_Michel_-_6.jpg/330px-Sebastian_Thrun_by_Christopher_Michel_-_6.jpg,Computer Vision; Computer Science; Artificial Intelligence; Robotics,Stanford University,Computer Scientist,Dermatologist-level classification of skin cancer with deep neural networks; Probabilistic robotics; A guide to deep learning in healthcare; The dynamic window approach to collision avoidance; Text Classification from Labeled and Unlabeled Documents using EM
Raquel Urtasun,Professor,https://x.com/RaquelUrtasun,https://upload.wikimedia.org/wikipedia/commons/thumb/6/6c/Raquel_Urtasun.jpg/330px-Raquel_Urtasun.jpg,Computer Vision; Artificial Intelligence; Computer Science; Machine Learning,Waabi,Professor,Vision meets robotics: The KITTI dataset; Aligning Books and Movies: Towards Story-Like Visual Explanations by Watching Movies and Reading Books; The Role of Context for Object Detection and Semantic Segmentation in the Wild; PIXOR: Real-time 3D Object Detection from Point Clouds; Monocular 3D Object Detection for Autonomous Driving
Pushmeet Kohli,Computer Scientist,https://x.com/pushmeet,https://api.dicebear.com/9.x/initials/svg?seed=Pushmeet%20Kohli&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Guru Gobind Singh Indraprastha University,Computer Scientist,Highly accurate protein structure prediction with AlphaFold; Accurate structure prediction of biomolecular interactions with AlphaFold 3; AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models; Indoor Segmentation and Support Inference from RGBD Images; Protein complex prediction with AlphaFold-Multimer
Ion Stoica,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Ion_Stoica_2025_%28cropped%29.jpg/330px-Ion_Stoica_2025_%28cropped%29.jpg,Artificial Intelligence; Computer Science,Berkeley College,Computer Scientist,Chord; A view of cloud computing; Above the Clouds: A Berkeley View of Cloud Computing; Spark: cluster computing with working sets; Resilient distributed datasets: a fault-tolerant abstraction for in-memory cluster computing
Ruslan Salakhutdinov,Computer Scientist,https://x.com/rsalakhu,https://upload.wikimedia.org/wikipedia/commons/thumb/3/38/Russ_Salakhutdinov.jpg/330px-Russ_Salakhutdinov.jpg,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,Apple,Computer Scientist,Dropout: a simple way to prevent neural networks from overfitting; Reducing the Dimensionality of Data with Neural Networks; Improving neural networks by preventing co-adaptation of feature detectors; Probabilistic Matrix Factorization; Siamese Neural Networks for One-shot Image Recognition
Percy Liang,Professor,https://x.com/percyliang,https://api.dicebear.com/9.x/initials/svg?seed=Percy%20Liang&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science,Stanford University,Professor,"SQuAD: 100,000+ Questions for Machine Comprehension of Text; Know What You Don’t Know: Unanswerable Questions for SQuAD; Prefix-Tuning: Optimizing Continuous Prompts for Generation; Semantic Parsing on Freebase from Question-Answer Pairs; Adversarial Examples for Evaluating Reading Comprehension Systems"
Dan Jurafsky,Professor,https://x.com/jurafsky,https://upload.wikimedia.org/wikipedia/commons/thumb/4/41/Dan_Jurafsky_at_MOCA_1_%28cropped%29.jpg/330px-Dan_Jurafsky_at_MOCA_1_%28cropped%29.jpg,Natural Language Processing; Artificial Intelligence; Computer Science,Stanford University,Professor,Speech and language processing; Distant supervision for relation extraction without labeled data; On the Opportunities and Risks of Foundation Models; Deep Reinforcement Learning for Dialogue Generation; Word embeddings quantify 100 years of gender and ethnic stereotypes
Martin Wainwright,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Martin%20Wainwright&fontWeight=700&radius=16,Artificial Intelligence; Computer Science,Microsoft Research (United Kingdom),Professor,"Graphical Models, Exponential Families, and Variational Inference; Statistical Learning with Sparsity; Image denoising using scale mixtures of gaussians in the wavelet domain; Network Coding for Distributed Storage Systems; Graphical Models, Exponential Families, and Variational Inference"
Noah Smith,Professor,https://x.com/nlpnoah,https://api.dicebear.com/9.x/initials/svg?seed=Noah%20Smith&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science,Salus University,Professor,"From Tweets to Polls: Linking Text Sentiment to Public Opinion Time Series; Green AI; Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics; A Simple, Fast, and Effective Reparameterization of IBM Model 2; Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments"
Max Welling,Computer Scientist,https://x.com/wellingmax,https://api.dicebear.com/9.x/initials/svg?seed=Max%20Welling&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,"University of California, Santa Barbara",Computer Scientist,Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories; Auto-Encoding Variational Bayes; Semi-Supervised Classification with Graph Convolutional Networks; Modeling Relational Data with Graph Convolutional Networks; An Introduction to Variational Autoencoders
Judea Pearl,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Judea_Pearl_at_NIPS_2013_%2811781981594%29.jpg/330px-Judea_Pearl_at_NIPS_2013_%2811781981594%29.jpg,Artificial Intelligence; Computer Science,"University of California, Los Angeles",Computer Scientist,"Probabilistic Reasoning in Intelligent Systems: Networks of Plausible Inference; Causality; Causality: Models, Reasoning and Inference; Causal Diagrams for Epidemiologic Research; Causal diagrams for empirical research"
Daniela Rus,Computer Scientist,,https://upload.wikimedia.org/wikipedia/commons/thumb/6/69/UN_AI_for_Good_Summit_2025_-_Daniela_Rus_01_%28cropped%29_2.jpg/330px-UN_AI_for_Good_Summit_2025_-_Daniela_Rus_01_%28cropped%29_2.jpg,Artificial Intelligence; Computer Science; Robotics,MIT,Computer Scientist,"Design, fabrication and control of soft robots; LIO-SAM: Tightly-coupled Lidar Inertial Odometry via Smoothing and Mapping; Artificial Intelligence in Surgery: Promises and Perils; On-demand high-capacity ride-sharing via dynamic trip-vehicle assignment; Modular Self-Reconfigurable Robot Systems [Grand Challenges of Robotics]"
Jason Weston,English former professional snooker player,,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jason_Weston_PHC_2016-2.JPG/330px-Jason_Weston_PHC_2016-2.JPG,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,Meta,English former professional snooker player,Gene Selection for Cancer Classification using Support Vector Machines; Translating embeddings for modeling multi-relational data; Natural Language Processing (almost) from Scratch; A unified architecture for natural language processing; Curriculum learning
Aaron Courville,Computer Scientist,,https://api.dicebear.com/9.x/initials/svg?seed=Aaron%20Courville&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Artificial Neural Networks; Machine Learning,Université de Montréal,Computer Scientist,"Generative adversarial networks; Representation Learning: A Review and New Perspectives; Deep Learning; Show, Attend and Tell: Neural Image Caption Generation with Visual Attention; Generative Adversarial Networks"
Chelsea Finn,Professor,https://x.com/chelseabfinn,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Chelsea_Finn_and_Vestri_the_robot%2C_UC_Berkeley.jpg/330px-Chelsea_Finn_and_Vestri_the_robot%2C_UC_Berkeley.jpg,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,Stanford University,Professor,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks; On the Opportunities and Risks of Foundation Models; End-to-end training of deep visuomotor policies; End-to-End Training of Deep Visuomotor Policies; Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks
Noam Shazeer,Computer Scientist,https://x.com/NoamShazeer,https://api.dicebear.com/9.x/initials/svg?seed=Noam%20Shazeer&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science,Google (United States),Computer Scientist,MizAR 60 for Mizar 50; Exploring the Limits of Transfer Learning with a Unified Text-to-Text\n Transformer; Attention Is All You Need; Exploring the Limits of Transfer Learning with a Unified Text-to-Text Transformer; PaLM: Scaling Language Modeling with Pathways
Hinrich Schütze,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Hinrich%20Sch%C3%BCtze&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science,Ludwig-Maximilians-Universität München,Professor,Introduction to Information Retrieval; Foundations of statistical natural language processing; Automatic word sense discrimination; ABCNN: Attention-Based Convolutional Neural Network for Modeling Sentence Pairs; Comparative Study of CNN and RNN for Natural Language Processing
Thomas Hofmann,German food chemist and academic administrator,,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/TUM_Pr%C3%A4sident_Prof_Thomas_F_Hofmann_-_Astrid_Eckert_%28cropped%29.jpg/330px-TUM_Pr%C3%A4sident_Prof_Thomas_F_Hofmann_-_Astrid_Eckert_%28cropped%29.jpg,Artificial Intelligence; Computer Science,Technical University of Munich,German food chemist and academic administrator,Probabilistic Latent Semantic Indexing; Probabilistic latent semantic indexing; Unsupervised Learning by Probabilistic Latent Semantic Analysis; Probabilistic Latent Semantic Analysis; Large Margin Methods for Structured and Interdependent Output Variables
Andrea Vedaldi,AI Researcher,https://x.com/BMVCconf,https://api.dicebear.com/9.x/initials/svg?seed=Andrea%20Vedaldi&fontWeight=700&radius=16,Computer Vision; Artificial Intelligence; Computer Science,University of Oxford,Researcher,Deep Face Recognition; Deep Inside Convolutional Networks: Visualising Image Classification\n Models and Saliency Maps; Fully-Convolutional Siamese Networks for Object Tracking; Instance Normalization: The Missing Ingredient for Fast Stylization; Return of the Devil in the Details: Delving Deep into Convolutional Nets
Daphne Koller,Computer Scientist,https://x.com/DaphneKoller,https://upload.wikimedia.org/wikipedia/commons/thumb/4/44/Daphne_Koller_2019.jpg/330px-Daphne_Koller_2019.jpg,Artificial Intelligence; Computer Science; Machine Learning,Stanford University,Computer Scientist,Proceedings of the 21st International Conference on Neural Information Processing Systems; A Gene-Coexpression Network for Global Discovery of Conserved Genetic Modules; FastSLAM: a factored solution to the simultaneous localization and mapping problem; The Immunological Genome Project: networks of gene expression in immune cells; Module networks: identifying regulatory modules and their condition-specific regulators from gene expression data
Joelle Pineau,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Jo%C3%ABlle_Pineau_at_All_In_2025_03.jpg/330px-Jo%C3%ABlle_Pineau_at_All_In_2025_03.jpg,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,McGill University,Professor,Proceedings of the 29th International Conference on Machine Learning (ICML-12); Deep Reinforcement Learning That Matters; An Introduction to Deep Reinforcement Learning; Point-based value iteration: an anytime algorithm for POMDPs; How NOT To Evaluate Your Dialogue System: An Empirical Study of Unsupervised Evaluation Metrics for Dialogue Response Generation
Sergey Levine,Computer Scientist,https://x.com/svlevine,https://api.dicebear.com/9.x/initials/svg?seed=Sergey%20Levine&fontWeight=700&radius=16,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,"University of California, Berkeley",Computer Scientist,Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks; Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor; Trust Region Policy Optimization; Soft Actor-Critic Algorithms and Applications; High-Dimensional Continuous Control Using Generalized Advantage Estimation
Neil Lawrence,Chief Scientist,https://x.com/lawrennd,https://api.dicebear.com/9.x/initials/svg?seed=Neil%20Lawrence&fontWeight=700&radius=16,Artificial Intelligence; Computer Science,University of Cambridge,Chief Scientist,Probabilistic Non-linear Principal Component Analysis with Gaussian Process Latent Variable Models; Gaussian Process Latent Variable Models for Visualisation of High Dimensional Data; Proceedings of the 27th International Conference on Neural Information Processing Systems - Volume 1; Variational Information Distillation for Knowledge Transfer; WiFi-SLAM Using G aussian Process Latent Variable Models
Graham Neubig,Professor,https://x.com/gneubig,https://api.dicebear.com/9.x/initials/svg?seed=Graham%20Neubig&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science,Carnegie Mellon University,Professor,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing; A Syntactic Neural Model for General-Purpose Code Generation; Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing; A systematic evaluation of large language models of code; TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data"
Doina Precup,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Doina_Precup_with_Ian_Kerr.jpg/330px-Doina_Precup_with_Ian_Kerr.jpg,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,Google (United States),Professor,The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS); Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning; Deep Reinforcement Learning That Matters; Fast gradient-descent methods for temporal-difference learning with linear function approximation; Eligibility Traces for Off-Policy Policy Evaluation
Zoubin Ghahramani,Computer Scientist,https://x.com/ZoubinGhahrama1,https://upload.wikimedia.org/wikipedia/commons/thumb/9/95/Professor_Zoubin_Ghahramani_FRS.jpg/330px-Professor_Zoubin_Ghahramani_FRS.jpg,Artificial Intelligence; Computer Science; Machine Learning,University of Cambridge,Computer Scientist,Dropout as a Bayesian Approximation: Representing Model Uncertainty in\n Deep Learning; An Introduction to Variational Methods for Graphical Models; An Internal Model for Sensorimotor Integration; Semi-supervised learning using Gaussian fields and harmonic functions; Dropout as a Bayesian Approximation: Representing Model Uncertainty in Deep Learning
Ian Goodfellow,Ian J,,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Ian_Goodfellow.jpg/330px-Ian_Goodfellow.jpg,Artificial Intelligence; Computer Science; Machine Learning,University of Cambridge,Ian J,Generative adversarial networks; TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems; Deep Learning; Explaining and Harnessing Adversarial Examples; Intriguing properties of neural networks
Russ Tedrake,Professor,,https://api.dicebear.com/9.x/initials/svg?seed=Russ%20Tedrake&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Robotics,Massachusetts Institute of Technology,Professor,"Efficient Bipedal Robots Based on Passive-Dynamic Walkers; Optimization-based locomotion planning, estimation, and control design for the atlas humanoid robot; A direct method for trajectory optimization of rigid bodies through contact; LQR-trees: Feedback Motion Planning via Sums-of-Squares Verification; Whole-body motion planning with centroidal dynamics and full kinematics"
Kate Crawford,Professor,https://x.com/katecrawford,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Kate_Crawford_in_2025_05.jpg/330px-Kate_Crawford_in_2025_05.jpg,Computer Science,Microsoft (United States),Professor,"CRITICAL QUESTIONS FOR BIG DATA; Seeing without knowing: Limitations of the transparency ideal and its application to algorithmic accountability; Atlas of AI; Atlas of AI: Power, Politics, and the Planetary Costs of Artificial Intelligence; Following you: Disciplines of listening in social media"
Carla Gomes,Professor,,https://upload.wikimedia.org/wikipedia/commons/thumb/3/31/Carla_Gomes_at_FLoC_2006.jpg/330px-Carla_Gomes_at_FLoC_2006.jpg,Artificial Intelligence; Computer Science,Cornell University,Professor,Scientific discovery in the age of artificial intelligence; The eBird enterprise: An integrated approach to development and application of citizen science; Tackling Climate Change with Machine Learning; Boosting combinatorial search through randomization; Algorithm portfolios
Ashish Vaswani,Computer Scientist,https://x.com/ashVaswani,https://api.dicebear.com/9.x/initials/svg?seed=Ashish%20Vaswani&fontWeight=700&radius=16,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,Google (United States),Computer Scientist,"MizAR 60 for Mizar 50; Attention Is All You Need; Relational inductive biases, deep learning, and graph networks; Music Transformer: Generating Music with Long-Term Structure; Self-Attention with Relative Position Representations"
Nicolas Papernot,Professor,https://x.com/nicolaspapernot,https://api.dicebear.com/9.x/initials/svg?seed=Nicolas%20Papernot&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,University of Toronto,Professor,The Limitations of Deep Learning in Adversarial Settings; Practical Black-Box Attacks against Machine Learning; Transferability in Machine Learning: from Phenomena to Black-Box Attacks using Adversarial Samples; Ensemble Adversarial Training: Attacks and Defenses; MixMatch: A Holistic Approach to Semi-Supervised Learning
Alex Smola,Computer Scientist,https://x.com/smolix,https://api.dicebear.com/9.x/initials/svg?seed=Alex%20Smola&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Amazon Web Services,Computer Scientist,A tutorial on support vector regression; Estimating the Support of a High-Dimensional Distribution; Hierarchical Attention Networks for Document Classification; Support Vector Regression Machines; New Support Vector Algorithms
David Patterson,Computer Scientist,https://x.com/Berkeley_EECS,https://api.dicebear.com/9.x/initials/svg?seed=David%20Patterson&fontWeight=700&radius=16,Computer Science,Google (United States),Computer Scientist,A view of cloud computing; Above the Clouds: A Berkeley View of Cloud Computing; A case for redundant arrays of inexpensive disks (RAID); Computer Organization and Design: the Hardware/Software Interface; LogP: towards a realistic model of parallel computation
Marinka Žitnik,Professor,https://x.com/marinkazitnik,https://api.dicebear.com/9.x/initials/svg?seed=Marinka%20%C5%BDitnik&fontWeight=700&radius=16,Artificial Intelligence; Computer Science; Machine Learning,Purdue University West Lafayette,Professor,"Orange: data mining toolbox in python; Scientific discovery in the age of artificial intelligence; Modeling polypharmacy side effects with graph convolutional networks; GNNExplainer: Generating Explanations for Graph Neural Networks; Machine learning for integrating data in biology and medicine: Principles, practice, and opportunities"
