Name,Description,Web URL,Publish date,Author,Published in
Human-level control through deep reinforcement learning,Research contribution by Demis Hassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ,N/A,Demis Hassabis,Google DeepMind (United Kingdom)
Mastering the game of Go with deep neural networks and tree search,Research contribution by Demis Hassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ,N/A,Demis Hassabis,Google DeepMind (United Kingdom)
Accurate structure prediction of biomolecular interactions with AlphaFold 3,Research contribution by Demis Hassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ,N/A,Demis Hassabis,Google DeepMind (United Kingdom)
Mastering the game of Go without human knowledge,Research contribution by Demis Hassabis,https://scholar.google.com/citations?user=dYpPMQEAAAAJ,N/A,Demis Hassabis,Google DeepMind (United Kingdom)
Robust uncertainty principles: exact signal reconstruction from highly incomplete frequency information,Research contribution by Emmanuel Candès,https://scholar.google.com/citations?user=nRQi4O8AAAAJ,N/A,Emmanuel Candès,California Institute of Technology
An Introduction To Compressive Sampling,Research contribution by Emmanuel Candès,https://scholar.google.com/citations?user=nRQi4O8AAAAJ,N/A,Emmanuel Candès,California Institute of Technology
Decoding by Linear Programming,Research contribution by Emmanuel Candès,https://scholar.google.com/citations?user=nRQi4O8AAAAJ,N/A,Emmanuel Candès,California Institute of Technology
Stable signal recovery from incomplete and inaccurate measurements,Research contribution by Emmanuel Candès,https://scholar.google.com/citations?user=nRQi4O8AAAAJ,N/A,Emmanuel Candès,California Institute of Technology
Near-Optimal Signal Recovery From Random Projections: Universal Encoding Strategies?,Research contribution by Emmanuel Candès,https://scholar.google.com/citations?user=nRQi4O8AAAAJ,N/A,Emmanuel Candès,California Institute of Technology
Highly accurate protein structure prediction with AlphaFold,Research contribution by Oriol Vinyals,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,N/A,Oriol Vinyals,Google
Distilling the Knowledge in a Neural Network,Research contribution by Oriol Vinyals,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,N/A,Oriol Vinyals,Google
Sequence to Sequence Learning with Neural Networks,Research contribution by Oriol Vinyals,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,N/A,Oriol Vinyals,Google
TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems,Research contribution by Oriol Vinyals,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,N/A,Oriol Vinyals,Google
Show and tell: A neural image caption generator,Research contribution by Oriol Vinyals,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,N/A,Oriol Vinyals,Google
A tutorial on support vector regression,Research contribution by Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ,N/A,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
Learning with Kernels,Research contribution by Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ,N/A,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
Nonlinear Component Analysis as a Kernel Eigenvalue Problem,Research contribution by Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ,N/A,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
Support vector machines,Research contribution by Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ,N/A,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
Advances in kernel methods: support vector learning,Research contribution by Bernhard Schölkopf,https://scholar.google.com/citations?user=DZ-fHPgAAAAJ,N/A,Bernhard Schölkopf,Max Planck Institute for Intelligent Systems
HMDB: A large video database for human motion recognition,Research contribution by Tomaso Poggio,https://scholar.google.com/scholar?q=Tomaso+Poggio,N/A,Tomaso Poggio,Moscow Institute of Thermal Technology
Hierarchical models of object recognition in cortex,Research contribution by Tomaso Poggio,https://scholar.google.com/scholar?q=Tomaso+Poggio,N/A,Tomaso Poggio,Moscow Institute of Thermal Technology
Networks for approximation and learning,Research contribution by Tomaso Poggio,https://scholar.google.com/scholar?q=Tomaso+Poggio,N/A,Tomaso Poggio,Moscow Institute of Thermal Technology
Face recognition: features versus templates,Research contribution by Tomaso Poggio,https://scholar.google.com/scholar?q=Tomaso+Poggio,N/A,Tomaso Poggio,Moscow Institute of Thermal Technology
Prediction of central nervous system embryonal tumour outcome based on gene expression,Research contribution by Tomaso Poggio,https://scholar.google.com/scholar?q=Tomaso+Poggio,N/A,Tomaso Poggio,Moscow Institute of Thermal Technology
Model-Agnostic Meta-Learning for Fast Adaptation of Deep Networks,Research contribution by Pieter Abbeel,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,N/A,Pieter Abbeel,"University of California, Berkeley"
Soft Actor-Critic: Off-Policy Maximum Entropy Deep Reinforcement Learning with a Stochastic Actor,Research contribution by Pieter Abbeel,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,N/A,Pieter Abbeel,"University of California, Berkeley"
Trust Region Policy Optimization,Research contribution by Pieter Abbeel,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,N/A,Pieter Abbeel,"University of California, Berkeley"
Apprenticeship learning via inverse reinforcement learning,Research contribution by Pieter Abbeel,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,N/A,Pieter Abbeel,"University of California, Berkeley"
Domain randomization for transferring deep neural networks from simulation to the real world,Research contribution by Pieter Abbeel,https://scholar.google.com/citations?user=vtwH6GkAAAAJ,N/A,Pieter Abbeel,"University of California, Berkeley"
Unpaired Image-to-Image Translation Using Cycle-Consistent Adversarial Networks,Research contribution by Alexei Efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,N/A,Alexei Efros,Berkeley College
The Unreasonable Effectiveness of Deep Features as a Perceptual Metric,Research contribution by Alexei Efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,N/A,Alexei Efros,Berkeley College
Colorful Image Colorization,Research contribution by Alexei Efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,N/A,Alexei Efros,Berkeley College
Texture synthesis by non-parametric sampling,Research contribution by Alexei Efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,N/A,Alexei Efros,Berkeley College
Unsupervised Visual Representation Learning by Context Prediction,Research contribution by Alexei Efros,https://scholar.google.com/citations?user=d97bGd8AAAAJ,N/A,Alexei Efros,Berkeley College
Highly accurate protein structure prediction with AlphaFold,Research contribution by Koray Kavukcuoglu,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,N/A,Koray Kavukcuoglu,Google DeepMind
Human-level control through deep reinforcement learning,Research contribution by Koray Kavukcuoglu,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,N/A,Koray Kavukcuoglu,Google DeepMind
Mastering the game of Go with deep neural networks and tree search,Research contribution by Koray Kavukcuoglu,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,N/A,Koray Kavukcuoglu,Google DeepMind
Natural Language Processing (almost) from Scratch,Research contribution by Koray Kavukcuoglu,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,N/A,Koray Kavukcuoglu,Google DeepMind
Playing Atari with Deep Reinforcement Learning,Research contribution by Koray Kavukcuoglu,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,N/A,Koray Kavukcuoglu,Google DeepMind
Latent dirichlet allocation,Research contribution by Andrew Ng,https://scholar.google.com/scholar?q=Andrew+Ng,N/A,Andrew Ng,University of Bonn
On Spectral Clustering: Analysis and an algorithm,Research contribution by Andrew Ng,https://scholar.google.com/scholar?q=Andrew+Ng,N/A,Andrew Ng,University of Bonn
Recursive Deep Models for Semantic Compositionality Over a Sentiment Treebank,Research contribution by Andrew Ng,https://scholar.google.com/scholar?q=Andrew+Ng,N/A,Andrew Ng,University of Bonn
Learning Word Vectors for Sentiment Analysis,Research contribution by Andrew Ng,https://scholar.google.com/scholar?q=Andrew+Ng,N/A,Andrew Ng,University of Bonn
Large Scale Distributed Deep Networks,Research contribution by Andrew Ng,https://scholar.google.com/scholar?q=Andrew+Ng,N/A,Andrew Ng,University of Bonn
node2vec,Research contribution by Jure Leskovec,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ,N/A,Jure Leskovec,Chan Zuckerberg Initiative (United States)
Targeted Branching for the Maximum Independent Set Problem Using Graph Neural Networks,Research contribution by Jure Leskovec,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ,N/A,Jure Leskovec,Chan Zuckerberg Initiative (United States)
Inductive Representation Learning on Large Graphs,Research contribution by Jure Leskovec,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ,N/A,Jure Leskovec,Chan Zuckerberg Initiative (United States)
Friendship and mobility,Research contribution by Jure Leskovec,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ,N/A,Jure Leskovec,Chan Zuckerberg Initiative (United States)
{SNAP Datasets}: {Stanford} Large Network Dataset Collection,Research contribution by Jure Leskovec,https://scholar.google.com/citations?user=Q_kKkIUAAAAJ,N/A,Jure Leskovec,Chan Zuckerberg Initiative (United States)
Advances and Open Problems in Federated Learning,Research contribution by Dawn Song,https://scholar.google.com/scholar?q=Dawn+Song,N/A,Dawn Song,Berkeley College
Provable data possession at untrusted stores,Research contribution by Dawn Song,https://scholar.google.com/scholar?q=Dawn+Song,N/A,Dawn Song,Berkeley College
Robust Physical-World Attacks on Deep Learning Visual Classification,Research contribution by Dawn Song,https://scholar.google.com/scholar?q=Dawn+Song,N/A,Dawn Song,Berkeley College
The sybil attack in sensor networks,Research contribution by Dawn Song,https://scholar.google.com/scholar?q=Dawn+Song,N/A,Dawn Song,Berkeley College
"Dynamic Taint Analysis for Automatic Detection, Analysis, and Signature Generation of Exploits on Commodity Software",Research contribution by Dawn Song,https://scholar.google.com/scholar?q=Dawn+Song,N/A,Dawn Song,Berkeley College
Highly accurate protein structure prediction with AlphaFold,Research contribution by David Silver,https://scholar.google.com/scholar?q=David+Silver,N/A,David Silver,Google DeepMind
Human-level control through deep reinforcement learning,Research contribution by David Silver,https://scholar.google.com/scholar?q=David+Silver,N/A,David Silver,Google DeepMind
Mastering the game of Go with deep neural networks and tree search,Research contribution by David Silver,https://scholar.google.com/scholar?q=David+Silver,N/A,David Silver,Google DeepMind
Mastering the game of Go without human knowledge,Research contribution by David Silver,https://scholar.google.com/scholar?q=David+Silver,N/A,David Silver,Google DeepMind
Continuous control with deep reinforcement learning,Research contribution by David Silver,https://scholar.google.com/scholar?q=David+Silver,N/A,David Silver,Google DeepMind
Top 10 algorithms in data mining,Research contribution by Zhi-Hua Zhou,https://scholar.google.com/scholar?q=Zhi-Hua+Zhou,N/A,Zhi-Hua Zhou,Ministry of Public Security of the People's Republic of China
Isolation Forest,Research contribution by Zhi-Hua Zhou,https://scholar.google.com/scholar?q=Zhi-Hua+Zhou,N/A,Zhi-Hua Zhou,Ministry of Public Security of the People's Republic of China
ML-KNN: A lazy learning approach to multi-label learning,Research contribution by Zhi-Hua Zhou,https://scholar.google.com/scholar?q=Zhi-Hua+Zhou,N/A,Zhi-Hua Zhou,Ministry of Public Security of the People's Republic of China
A Review on Multi-Label Learning Algorithms,Research contribution by Zhi-Hua Zhou,https://scholar.google.com/scholar?q=Zhi-Hua+Zhou,N/A,Zhi-Hua Zhou,Ministry of Public Security of the People's Republic of China
Ensemble Methods: Foundations and Algorithms,Research contribution by Zhi-Hua Zhou,https://scholar.google.com/scholar?q=Zhi-Hua+Zhou,N/A,Zhi-Hua Zhou,Ministry of Public Security of the People's Republic of China
Dermatologist-level classification of skin cancer with deep neural networks,Research contribution by Sebastian Thrun,https://scholar.google.com/citations?user=7K34d7cAAAAJ,N/A,Sebastian Thrun,Stanford University
Probabilistic robotics,Research contribution by Sebastian Thrun,https://scholar.google.com/citations?user=7K34d7cAAAAJ,N/A,Sebastian Thrun,Stanford University
A guide to deep learning in healthcare,Research contribution by Sebastian Thrun,https://scholar.google.com/citations?user=7K34d7cAAAAJ,N/A,Sebastian Thrun,Stanford University
The dynamic window approach to collision avoidance,Research contribution by Sebastian Thrun,https://scholar.google.com/citations?user=7K34d7cAAAAJ,N/A,Sebastian Thrun,Stanford University
Text Classification from Labeled and Unlabeled Documents using EM,Research contribution by Sebastian Thrun,https://scholar.google.com/citations?user=7K34d7cAAAAJ,N/A,Sebastian Thrun,Stanford University
Vision meets robotics: The KITTI dataset,Research contribution by Raquel Urtasun,https://scholar.google.com/citations?user=jyxO2akAAAAJ,N/A,Raquel Urtasun,Waabi
Aligning Books and Movies: Towards Story-Like Visual Explanations by Watching Movies and Reading Books,Research contribution by Raquel Urtasun,https://scholar.google.com/citations?user=jyxO2akAAAAJ,N/A,Raquel Urtasun,Waabi
The Role of Context for Object Detection and Semantic Segmentation in the Wild,Research contribution by Raquel Urtasun,https://scholar.google.com/citations?user=jyxO2akAAAAJ,N/A,Raquel Urtasun,Waabi
PIXOR: Real-time 3D Object Detection from Point Clouds,Research contribution by Raquel Urtasun,https://scholar.google.com/citations?user=jyxO2akAAAAJ,N/A,Raquel Urtasun,Waabi
Monocular 3D Object Detection for Autonomous Driving,Research contribution by Raquel Urtasun,https://scholar.google.com/citations?user=jyxO2akAAAAJ,N/A,Raquel Urtasun,Waabi
Highly accurate protein structure prediction with AlphaFold,Research contribution by Pushmeet Kohli,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,N/A,Pushmeet Kohli,Guru Gobind Singh Indraprastha University
Accurate structure prediction of biomolecular interactions with AlphaFold 3,Research contribution by Pushmeet Kohli,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,N/A,Pushmeet Kohli,Guru Gobind Singh Indraprastha University
AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models,Research contribution by Pushmeet Kohli,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,N/A,Pushmeet Kohli,Guru Gobind Singh Indraprastha University
Indoor Segmentation and Support Inference from RGBD Images,Research contribution by Pushmeet Kohli,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,N/A,Pushmeet Kohli,Guru Gobind Singh Indraprastha University
Protein complex prediction with AlphaFold-Multimer,Research contribution by Pushmeet Kohli,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,N/A,Pushmeet Kohli,Guru Gobind Singh Indraprastha University
Chord,Research contribution by Ion Stoica,https://scholar.google.com/scholar?q=Ion+Stoica,N/A,Ion Stoica,Berkeley College
A view of cloud computing,Research contribution by Ion Stoica,https://scholar.google.com/scholar?q=Ion+Stoica,N/A,Ion Stoica,Berkeley College
Above the Clouds: A Berkeley View of Cloud Computing,Research contribution by Ion Stoica,https://scholar.google.com/scholar?q=Ion+Stoica,N/A,Ion Stoica,Berkeley College
Spark: cluster computing with working sets,Research contribution by Ion Stoica,https://scholar.google.com/scholar?q=Ion+Stoica,N/A,Ion Stoica,Berkeley College
Resilient distributed datasets: a fault-tolerant abstraction for in-memory cluster computing,Research contribution by Ion Stoica,https://scholar.google.com/scholar?q=Ion+Stoica,N/A,Ion Stoica,Berkeley College
Dropout: a simple way to prevent neural networks from overfitting,Research contribution by Ruslan Salakhutdinov,https://scholar.google.com/citations?user=ITZ1e7MAAAAJ,N/A,Ruslan Salakhutdinov,Apple
Reducing the Dimensionality of Data with Neural Networks,Research contribution by Ruslan Salakhutdinov,https://scholar.google.com/citations?user=ITZ1e7MAAAAJ,N/A,Ruslan Salakhutdinov,Apple
Improving neural networks by preventing co-adaptation of feature detectors,Research contribution by Ruslan Salakhutdinov,https://scholar.google.com/citations?user=ITZ1e7MAAAAJ,N/A,Ruslan Salakhutdinov,Apple
Probabilistic Matrix Factorization,Research contribution by Ruslan Salakhutdinov,https://scholar.google.com/citations?user=ITZ1e7MAAAAJ,N/A,Ruslan Salakhutdinov,Apple
Siamese Neural Networks for One-shot Image Recognition,Research contribution by Ruslan Salakhutdinov,https://scholar.google.com/citations?user=ITZ1e7MAAAAJ,N/A,Ruslan Salakhutdinov,Apple
"SQuAD: 100,000+ Questions for Machine Comprehension of Text",Research contribution by Percy Liang,https://scholar.google.com/citations?user=pouyVyUAAAAJ,N/A,Percy Liang,Stanford University
Know What You Don’t Know: Unanswerable Questions for SQuAD,Research contribution by Percy Liang,https://scholar.google.com/citations?user=pouyVyUAAAAJ,N/A,Percy Liang,Stanford University
Prefix-Tuning: Optimizing Continuous Prompts for Generation,Research contribution by Percy Liang,https://scholar.google.com/citations?user=pouyVyUAAAAJ,N/A,Percy Liang,Stanford University
Semantic Parsing on Freebase from Question-Answer Pairs,Research contribution by Percy Liang,https://scholar.google.com/citations?user=pouyVyUAAAAJ,N/A,Percy Liang,Stanford University
Adversarial Examples for Evaluating Reading Comprehension Systems,Research contribution by Percy Liang,https://scholar.google.com/citations?user=pouyVyUAAAAJ,N/A,Percy Liang,Stanford University
Speech and language processing,Research contribution by Dan Jurafsky,https://scholar.google.com/citations?user=uZg9l58AAAAJ,N/A,Dan Jurafsky,Stanford University
Distant supervision for relation extraction without labeled data,Research contribution by Dan Jurafsky,https://scholar.google.com/citations?user=uZg9l58AAAAJ,N/A,Dan Jurafsky,Stanford University
On the Opportunities and Risks of Foundation Models,Research contribution by Dan Jurafsky,https://scholar.google.com/citations?user=uZg9l58AAAAJ,N/A,Dan Jurafsky,Stanford University
Deep Reinforcement Learning for Dialogue Generation,Research contribution by Dan Jurafsky,https://scholar.google.com/citations?user=uZg9l58AAAAJ,N/A,Dan Jurafsky,Stanford University
Word embeddings quantify 100 years of gender and ethnic stereotypes,Research contribution by Dan Jurafsky,https://scholar.google.com/citations?user=uZg9l58AAAAJ,N/A,Dan Jurafsky,Stanford University
"Graphical Models, Exponential Families, and Variational Inference",Research contribution by Martin Wainwright,https://scholar.google.com/citations?user=J5Rvh6gAAAAJ,N/A,Martin Wainwright,Microsoft Research (United Kingdom)
Statistical Learning with Sparsity,Research contribution by Martin Wainwright,https://scholar.google.com/citations?user=J5Rvh6gAAAAJ,N/A,Martin Wainwright,Microsoft Research (United Kingdom)
Image denoising using scale mixtures of gaussians in the wavelet domain,Research contribution by Martin Wainwright,https://scholar.google.com/citations?user=J5Rvh6gAAAAJ,N/A,Martin Wainwright,Microsoft Research (United Kingdom)
Network Coding for Distributed Storage Systems,Research contribution by Martin Wainwright,https://scholar.google.com/citations?user=J5Rvh6gAAAAJ,N/A,Martin Wainwright,Microsoft Research (United Kingdom)
From Tweets to Polls: Linking Text Sentiment to Public Opinion Time Series,Research contribution by Noah Smith,https://scholar.google.com/citations?user=TjdFs3EAAAAJ,N/A,Noah Smith,Salus University
Green AI,Research contribution by Noah Smith,https://scholar.google.com/citations?user=TjdFs3EAAAAJ,N/A,Noah Smith,Salus University
Proceedings of the 49th Annual Meeting of the Association for Computational Linguistics,Research contribution by Noah Smith,https://scholar.google.com/citations?user=TjdFs3EAAAAJ,N/A,Noah Smith,Salus University
"A Simple, Fast, and Effective Reparameterization of IBM Model 2",Research contribution by Noah Smith,https://scholar.google.com/citations?user=TjdFs3EAAAAJ,N/A,Noah Smith,Salus University
"Part-of-Speech Tagging for Twitter: Annotation, Features, and Experiments",Research contribution by Noah Smith,https://scholar.google.com/citations?user=TjdFs3EAAAAJ,N/A,Noah Smith,Salus University
Detecting Functionality-Specific Vulnerabilities via Retrieving Individual Functionality-Equivalent APIs in Open-Source Repositories,Research contribution by Max Welling,https://scholar.google.com/citations?user=8200InoAAAAJ,N/A,Max Welling,"University of California, Santa Barbara"
Auto-Encoding Variational Bayes,Research contribution by Max Welling,https://scholar.google.com/citations?user=8200InoAAAAJ,N/A,Max Welling,"University of California, Santa Barbara"
Semi-Supervised Classification with Graph Convolutional Networks,Research contribution by Max Welling,https://scholar.google.com/citations?user=8200InoAAAAJ,N/A,Max Welling,"University of California, Santa Barbara"
Modeling Relational Data with Graph Convolutional Networks,Research contribution by Max Welling,https://scholar.google.com/citations?user=8200InoAAAAJ,N/A,Max Welling,"University of California, Santa Barbara"
An Introduction to Variational Autoencoders,Research contribution by Max Welling,https://scholar.google.com/citations?user=8200InoAAAAJ,N/A,Max Welling,"University of California, Santa Barbara"
