id,name,avatar_url,current_affiliation_id,current_affiliation_name,role_title,research_area_ids,research_areas,google_scholar_url,personal_website_url,twitter_handle,notable_papers_or_contributions,h_index,citation_count,influence_score,previous_affiliation_ids,previous_affiliations,education_ids,education
person:wojciech-zaremba,Wojciech Zaremba,,org:openai,OpenAI,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:artificial-neural-networks,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,https://scholar.google.com/citations?user=XCZpOcAAAAAJ,https://wojzaremba.com/,,Intriguing properties of neural networks; Spectral Networks and Locally Connected Networks on Graphs; Domain randomization for transferring deep neural networks from simulation to the real world; Recurrent Neural Network Regularization; Learning dexterous in-hand manipulation,35,27967,0.2056,,,org:new-york-university; org:university-of-warsaw; org:ecole-polytechnique,New York University; University of Warsaw; École polytechnique
person:mark-chen,Mark Chen,https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/%E9%99%B3%E5%94%90%E5%B1%B1_2025.jpg/330px-%E9%99%B3%E5%94%90%E5%B1%B1_2025.jpg,org:openai,OpenAI,Taiwanese politician and atmospheric scientist who served as...,topic:computer-science,Computer Science,https://scholar.google.com/scholar?q=Mark+Chen,,,Language Models are Few-Shot Learners; Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action.; Automaticity of social behavior: Direct effects of trait construct and stereotype activation on action.; Hierarchical Text-Conditional Image Generation with CLIP Latents; Epidemiologic Features and Clinical Course of Patients Infected With SARS-CoV-2 in Singapore,65,37771,0.2474,,,org:national-taiwan-university; org:national-chiayi-senior-high-school; org:university-of-oklahoma; org:purdue-university,National Taiwan University; National Chiayi Senior High School; University of Oklahoma; Purdue University
person:lilian-weng,Lilian Weng,,org:dropbox-inc,Dropbox Inc.,Computer Scientist,topic:artificial-intelligence; topic:computer-science,Artificial Intelligence; Computer Science,https://scholar.google.com/scholar?q=Lilian+Weng,,,Learning dexterous in-hand manipulation; Solving Rubik's Cube with a Robot Hand; Exploration in deep reinforcement learning: A survey; Predicting Successful Memes Using Network and Community Structure; Text and Code Embeddings by Contrastive Pre-Training,16,3645,0.115,org:affirm; org:openai; org:thinking-machines-lab,Affirm; OpenAI; Thinking Machines Lab,org:peking-university; org:indiana-university-bloomington,Peking University; Indiana University Bloomington
person:jared-kaplan,Jared Kaplan,https://upload.wikimedia.org/wikipedia/commons/thumb/e/ee/Jared_Kaplan_%28cropped%29.jpg/330px-Jared_Kaplan_%28cropped%29.jpg,org:johns-hopkins-university,Johns Hopkins University,theoretical physicist and artificial intelligence researcher,topic:artificial-intelligence; topic:computer-science,Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=KNr3vb4AAAAJ,,,Language Models are Few-Shot Learners; Scaling Laws for Neural Language Models; Evaluating Large Language Models Trained on Code; What is the simplest quantum field theory?; The analytic bootstrap and AdS superhorizon locality,37,12642,0.1734,org:anthropic,Anthropic,org:harvard-university,Harvard University
person:chris-olah,Chris Olah,,org:google,Google,Co-Founder,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=6dskOSUAAAAJ,http://colah.github.io/,@ch402,TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems; Deconvolution and Checkerboard Artifacts; Agnostic Learning with Unknown Utilities; Feature Visualization; The Building Blocks of Interpretability,20,15877,0.3014,org:openai; org:anthropic,OpenAI; Anthropic,,
person:tom-b-brown,Tom B Brown,,org:university-of-massachusetts-lowell,University of Massachusetts Lowell,,topic:computer-science,Computer Science,https://scholar.google.com/scholar?q=Tom+B+Brown,,,Evaluating the Effectiveness of Large Language Models in Representing Textual Descriptions of Geometry and Spatial Relations (Short Paper); Language Models are Few-Shot Learners; Scaling Laws for Neural Language Models; Deep reinforcement learning from human preferences; Technical Report on the CleverHans v2.1.0 Adversarial Examples Library,24,21571,0.1501,,,,
person:samuel-r-bowman,Samuel R Bowman,,,,,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/scholar?q=Samuel+R+Bowman,,,A large annotated corpus for learning natural language inference; GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding; SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems; GLUE: A Multi-Task Benchmark and Analysis Platform for Natural Language Understanding; SuperGLUE: A Stickier Benchmark for General-Purpose Language Understanding Systems,39,14045,0.1502,,,,
person:koray-kavukcuoglu,Koray Kavukcuoglu,,org:google-deepmind,Google DeepMind,,topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:artificial-neural-networks,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,https://scholar.google.com/citations?user=sGFyDIUAAAAJ,https://koray.kavukcuoglu.org/,@koraykv,Highly accurate protein structure prediction with AlphaFold; Human-level control through deep reinforcement learning; Mastering the game of Go with deep neural networks and tree search; Natural Language Processing (almost) from Scratch; Playing Atari with Deep Reinforcement Learning,74,158232,0.5287,,,org:new-york-university,New York University
person:oriol-vinyals,Oriol Vinyals,,org:google,Google,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:artificial-neural-networks,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,https://scholar.google.com/citations?user=NkzyCvUAAAAJ,https://research.google.com/pubs/OriolVinyals.html,@oriolvinyalsml,Highly accurate protein structure prediction with AlphaFold; Distilling the Knowledge in a Neural Network; Sequence to Sequence Learning with Neural Networks; TensorFlow: Large-Scale Machine Learning on Heterogeneous Distributed Systems; Show and tell: A neural image caption generator,94,170765,0.5939,,,org:university-of-california-berkeley; org:university-of-california-san-diego; org:polytechnic-university-of-catalonia; org:carnegie-mellon-university; org:escola-sant-nicolau,"University of California, Berkeley; University of California, San Diego; Polytechnic University of Catalonia; Carnegie Mellon University; Escola Sant Nicolau"
person:pushmeet-kohli,Pushmeet Kohli,,org:guru-gobind-singh-indraprastha-university,Guru Gobind Singh Indraprastha University,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=3pyzQQ8AAAAJ,https://research.google/people/105667,@pushmeet,Highly accurate protein structure prediction with AlphaFold; Accurate structure prediction of biomolecular interactions with AlphaFold 3; AlphaFold Protein Structure Database: massively expanding the structural coverage of protein-sequence space with high-accuracy models; Indoor Segmentation and Support Inference from RGBD Images; Protein complex prediction with AlphaFold-Multimer,98,113357,0.4693,org:google-deepmind,Google DeepMind,org:oxford-brookes-university,Oxford Brookes University
person:doina-precup,Doina Precup,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Doina_Precup_with_Ian_Kerr.jpg/330px-Doina_Precup_with_Ian_Kerr.jpg,org:google-united-states,Google (United States),Professor,topic:reinforcement-learning; topic:computer-science; topic:artificial-intelligence; topic:machine-learning,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,https://scholar.google.com/citations?user=j54VcVEAAAAJ,https://www.cs.mcgill.ca/~dprecup/,,The Multimodal Brain Tumor Image Segmentation Benchmark (BRATS); Between MDPs and semi-MDPs: A framework for temporal abstraction in reinforcement learning; Deep Reinforcement Learning That Matters; Fast gradient-descent methods for temporal-difference learning with linear function approximation; Eligibility Traces for Off-Policy Policy Evaluation,49,21623,0.3472,org:google-deepmind,Google DeepMind,org:university-of-massachusetts-amherst; org:technical-university-of-cluj-napoca,University of Massachusetts Amherst; Technical University of Cluj-Napoca
person:shakir-mohamed,Shakir Mohamed,,org:university-of-cape-town,University of Cape Town,,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=cIlDEugAAAAJ,https://shakirm.com/,,beta-VAE: Learning Basic Visual Concepts with a Constrained Variational Framework; Stochastic Backpropagation and Approximate Inference in Deep Generative Models; Semi-Supervised Learning with Deep Generative Models; Variational Inference with Normalizing Flows; A clinically applicable approach to continuous prediction of future acute kidney injury,40,16708,0.1716,,,org:university-of-cambridge,University of Cambridge
person:neil-lawrence,Neil Lawrence,,org:university-of-cambridge,University of Cambridge,Chief Scientist,topic:artificial-intelligence; topic:computer-science,Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=r3SJcvoAAAAJ,http://inverseprobability.com,@lawrennd,Probabilistic Non-linear Principal Component Analysis with Gaussian Process Latent Variable Models; Gaussian Process Latent Variable Models for Visualisation of High Dimensional Data; Proceedings of the 27th International Conference on Neural Information Processing Systems - Volume 1; Variational Information Distillation for Knowledge Transfer; WiFi-SLAM Using G aussian Process Latent Variable Models,62,16218,0.3498,org:university-of-sheffield; org:university-of-manchester; org:microsoft-research-united-kingdom,"University of Sheffield; University of Manchester; Microsoft Research, United Kingdom",org:university-of-cambridge; org:aston-university; org:university-of-southampton,University of Cambridge; Aston University; University of Southampton
person:timothy-lillicrap,Timothy Lillicrap,,org:google-united-states,Google (United States),Timothy P,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=htPVdRMAAAAJ,,,"Mastering the game of Go with deep neural networks and tree search; Mastering the game of Go without human knowledge; Continuous control with deep reinforcement learning; Continuous control with deep reinforcement learning; A general reinforcement learning algorithm that masters chess, shogi, and Go through self-play",58,64748,0.3145,org:google-deepmind,Google DeepMind,org:queen-s-university; org:la-salle-secondary-school,Queen's University; La Salle Secondary School
person:razvan-pascanu,Razvan Pascanu,,org:google-deepmind,Google DeepMind,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning; topic:artificial-neural-networks,Artificial Intelligence; Computer Science; Machine Learning; Artificial Neural Networks,https://scholar.google.com/citations?user=eSPY8LwAAAAJ,https://sites.google.com/view/razp,@rpascanu,"Overcoming catastrophic forgetting in neural networks; On the difficulty of training Recurrent Neural Networks; Relational inductive biases, deep learning, and graph networks; Progressive Neural Networks; Theano: A CPU and GPU Math Compiler in Python",60,29934,0.2241,,,org:jacobs-university-bremen; org:universite-de-montreal,Jacobs University Bremen; Université de Montréal
person:aaron-van-den-oord,Aäron van den Oord,,org:google-deepmind,Google DeepMind,Computer Scientist,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=TqUN-LwAAAAJ,,@avdnoord,Representation Learning with Contrastive Predictive Coding; Representation Learning with Contrastive Predictive Coding; WaveNet: A Generative Model for Raw Audio; WaveNet: A Generative Model for Raw Audio; Neural Discrete Representation Learning.,39,28271,0.1965,,,org:ghent-university,Ghent University
person:danilo-jimenez-rezende,Danilo Jimenez Rezende,,org:google-united-states,Google (United States),,topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=UGlyhFMAAAAJ,,,Stochastic Backpropagation and Approximate Inference in Deep Generative Models; Semi-Supervised Learning with Deep Generative Models; Variational Inference with Normalizing Flows; DRAW: A Recurrent Neural Network For Image Generation; DRAW: A Recurrent Neural Network For Image Generation,40,12750,0.1627,,,org:swiss-federal-institute-of-technology-in-lausanne,Swiss Federal Institute of Technology in Lausanne
person:joelle-pineau,Joelle Pineau,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Jo%C3%ABlle_Pineau_at_All_In_2025_03.jpg/330px-Jo%C3%ABlle_Pineau_at_All_In_2025_03.jpg,org:mcgill-university,McGill University,Professor,topic:reinforcement-learning; topic:computer-science; topic:artificial-intelligence; topic:machine-learning,Reinforcement Learning; Computer Science; Artificial Intelligence; Machine Learning,https://scholar.google.com/citations?user=CEt6_mMAAAAJ,http://www.cs.mcgill.ca/~jpineau/,,Proceedings of the 29th International Conference on Machine Learning (ICML-12); Deep Reinforcement Learning That Matters; An Introduction to Deep Reinforcement Learning; Point-based value iteration: an anytime algorithm for POMDPs; How NOT To Evaluate Your Dialogue System: An Empirical Study of Unsupervised Evaluation Metrics for Dialogue Response Generation,64,21034,0.363,org:mcgill-university,McGill University,org:university-of-waterloo; org:carnegie-mellon-university,University of Waterloo; Carnegie Mellon University
person:yann-dauphin,Yann Dauphin,,,,,topic:artificial-intelligence; topic:computer-science; topic:artificial-neural-networks; topic:machine-learning,Artificial Intelligence; Computer Science; Artificial Neural Networks; Machine Learning,https://scholar.google.com/citations?user=XSforroAAAAJ,,,mixup: Beyond Empirical Risk Minimization; Convolutional Sequence to Sequence Learning; Convolutional Sequence to Sequence Learning; Language Modeling with Gated Convolutional Networks; Hierarchical Neural Story Generation,36,17080,0.1679,,,org:universite-de-montreal,Université de Montréal
person:jianfeng-gao,Jianfeng Gao,,org:microsoft-united-states,Microsoft (United States),,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/scholar?q=Jianfeng+Gao,,,Embedding Entities and Relations for Learning and Inference in Knowledge Bases; A Diversity-Promoting Objective Function for Neural Conversation Models; Domain-Specific Language Model Pretraining for Biomedical Natural Language Processing; Deep Learning--based Text Classification; Analysis of Points of Interests Recommended for Leisure Walk Descriptions,90,38346,0.2629,,,,
person:christopher-manning,Christopher Manning,https://upload.wikimedia.org/wikipedia/commons/thumb/8/85/SD_2025_-_Christopher_Manning_04_%28cropped%29.jpg/330px-SD_2025_-_Christopher_Manning_04_%28cropped%29.jpg,org:cell-signaling-technology-united-states,Cell Signaling Technology (United States),Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=1zmDOdwAAAAJ,https://nlp.stanford.edu/manning/,@chrmanning,Glove: Global Vectors for Word Representation; Introduction to Information Retrieval; Foundations of statistical natural language processing; Effective Approaches to Attention-based Neural Machine Translation; The Stanford CoreNLP Natural Language Processing Toolkit,133,165774,0.627,org:university-of-sydney; org:carnegie-mellon-university,University of Sydney; Carnegie Mellon University,org:stanford-university,Stanford University
person:regina-barzilay,Regina Barzilay,,org:jambi-university,Jambi University,Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/scholar?q=Regina+Barzilay,http://people.csail.mit.edu/regina,,A Deep Learning Approach to Antibiotic Discovery; Analyzing Learned Molecular Representations for Property Prediction; De novo design of protein structure and function with RFdiffusion; Using lexical chains for text summarization; Prediction of Organic Reaction Outcomes Using Machine Learning,89,31652,0.2753,,,org:columbia-university; org:ben-gurion-university-of-the-negev; org:fu-foundation-school-of-engineering-and-applied-science,Columbia University; Ben-Gurion University of the Negev; Fu Foundation School of Engineering and Applied Science
person:percy-liang,Percy Liang,,org:stanford-university,Stanford University,Professor,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=pouyVyUAAAAJ,https://cs.stanford.edu/~pliang/,@percyliang,"SQuAD: 100,000+ Questions for Machine Comprehension of Text; Know What You Don’t Know: Unanswerable Questions for SQuAD; Prefix-Tuning: Optimizing Continuous Prompts for Generation; Semantic Parsing on Freebase from Question-Answer Pairs; Adversarial Examples for Evaluating Reading Comprehension Systems",85,42368,0.4348,,,org:university-of-california-berkeley,"University of California, Berkeley"
person:danqi-chen,Danqi Chen,https://upload.wikimedia.org/wikipedia/commons/thumb/9/97/ICLR_2025_-_Danqi_Chen_01.jpg/330px-ICLR_2025_-_Danqi_Chen_01.jpg,org:princeton-university,Princeton University,Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=sVR8ktkAAAAJ,https://www.cs.princeton.edu/~danqic/,@danqi_chen,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case; SimCSE: Simple Contrastive Learning of Sentence Embeddings; A Fast and Accurate Dependency Parser using Neural Networks; Reasoning With Neural Tensor Networks for Knowledge Base Completion; Reading Wikipedia to Answer Open-Domain Questions",44,34787,0.2312,,,org:tsinghua-university; org:stanford-university,Tsinghua University; Stanford University
person:luke-zettlemoyer,Luke Zettlemoyer,,org:university-of-washington,University of Washington,Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=UjpbO6IAAAAJ,https://www.cs.washington.edu/people/faculty/lsz/,,"HISTORIAE, History of Socio-Cultural Transformation as Linguistic Data Science. A Humanities Use Case; Deep Contextualized Word Representations; BART: Denoising Sequence-to-Sequence Pre-training for Natural Language Generation, Translation, and Comprehension; Multilingual Denoising Pre-training for Neural Machine Translation; Knowledge-Based Weak Supervision for Information Extraction of Overlapping Relations",82,47028,0.2876,org:meta,Meta,org:massachusetts-institute-of-technology,Massachusetts Institute of Technology
person:jason-weston,Jason Weston,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Jason_Weston_PHC_2016-2.JPG/330px-Jason_Weston_PHC_2016-2.JPG,org:meta,Meta,English former professional snooker player,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=lMkTx0EAAAAJ,http://www.thespermwhale.com/jaseweston/,,Gene Selection for Cancer Classification using Support Vector Machines; Translating embeddings for modeling multi-relational data; Natural Language Processing (almost) from Scratch; A unified architecture for natural language processing; Curriculum learning,93,76131,0.3799,org:max-planck-institute-for-biological-cybernetics; org:google,Max Planck Institute for Biological Cybernetics; Google,org:royal-holloway-university-of-london,"Royal Holloway, University of London"
person:kyunghyun-cho,Kyunghyun Cho,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/SD_2025_-_Kyunghyun_Cho_02_%28cropped%29.jpg/330px-SD_2025_-_Kyunghyun_Cho_02_%28cropped%29.jpg,org:canadian-institute-for-advanced-research,Canadian Institute for Advanced Research,Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science; topic:machine-learning,Natural Language Processing; Artificial Intelligence; Computer Science; Machine Learning,https://scholar.google.com/citations?user=0RAmmIAAAAAJ,http://www.kyunghyuncho.me/,@kchonyc,"Show, Attend and Tell: Neural Image Caption Generation with Visual Attention; On the Properties of Neural Machine Translation: Encoder–Decoder Approaches; Attention-Based Models for Speech Recognition; Show, Attend and Tell: Neural Image Caption Generation with Visual\n Attention; On the Properties of Neural Machine Translation: Encoder-Decoder Approaches",63,36523,0.2567,org:universite-de-montreal,Université de Montréal,org:kaist; org:aalto-university-school-of-science; org:aalto-university,KAIST; Aalto University School of Science; Aalto University
person:yejin-choi,Yejin Choi,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Yejin_Choi_%C2%A9_John_D._and_Catherine_T._MacArthur_Foundation%E2%80%93used_with_permission.jpg/330px-Yejin_Choi_%C2%A9_John_D._and_Catherine_T._MacArthur_Foundation%E2%80%93used_with_permission.jpg,org:seoul-national-university,Seoul National University,Computer Scientist,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=vhP-tlcAAAAJ,https://homes.cs.washington.edu/~yejin/,@YejinChoinka,Oscar: Object-Semantics Aligned Pre-training for Vision-Language Tasks; The Curious Case of Neural Text Degeneration; BabyTalk: Understanding and Generating Simple Image Descriptions; Truth of Varying Shades: Analyzing Language in Fake News and Political Fact-Checking; VinVL: Revisiting Visual Representations in Vision-Language Models,72,25815,0.2428,org:stony-brook-university,Stony Brook University,org:seoul-national-university; org:cornell-university,Seoul National University; Cornell University
person:graham-neubig,Graham Neubig,,org:carnegie-mellon-university,Carnegie Mellon University,Professor,topic:natural-language-processing; topic:artificial-intelligence; topic:computer-science,Natural Language Processing; Artificial Intelligence; Computer Science,https://scholar.google.com/citations?user=wlosgkoAAAAJ,http://www.phontron.com/,,"Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing; A Syntactic Neural Model for General-Purpose Code Generation; Pre-train, Prompt, and Predict: A Systematic Survey of Prompting Methods in Natural Language Processing; A systematic evaluation of large language models of code; TaBERT: Pretraining for Joint Understanding of Textual and Tabular Data",64,21369,0.3494,,,org:kyoto-university; org:university-of-illinois-urbana-champaign,Kyoto University; University of Illinois Urbana–Champaign
